,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
date,4/4/20,5/4/20,7/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20,16/4/20,18/4/20,19/4/20,20/4/20,21/4/20,22/4/20,23/4/20,24/4/20,25/4/20
Kachin,3480,3480,4883,5281,5447,5761,5863,6006,6181,3198,3286,3713,4277,4688,5082,5404,5483,5266,5350
Kayar,496,496,370,141,89,76,69,64,71,161,165,123,113,109,138,152,176,203,222
Kayin,2402,2402,2746,2811,3101,3101,1925,3233,3097,3164,3172,3193,3199,3201,2913,3212,1505,1106,1029
Chin,0,0,40,45,45,46,47,55,61,83,94,107,123,126,133,133,163,163,186
Mon,7674,8597,8724,4728,4728,2670,2670,1922,1745,1745,1826,1813,1823,1827,1784,1628,970,909,794
Rakhine,245,245,331,447,664,846,846,724,737,737,806,897,895,1015,985,1087,1078,1796,1802
Shan (S),2262,2262,3329,2602,2897,2510,2005,1626,1641,1655,1643,1701,1681,1690,1660,1510,1320,1265,1178
Shan (N),5957,5957,3489,1034,1074,1269,1269,1561,1426,1260,1260,1654,1805,2087,2189,2250,1310,2076,2736
Shan (E),4160,4160,233,1104,1104,1214,1214,973,935,935,935,902,961,972,1458,896,1637,1641,1638
Sagaing,5281,5281,11871,19090,19913,20696,17266,4820,17039,15518,4637,5446,6028,6692,7116,7291,7409,7506,7673
Mandalay,5337,5995,6577,6735,6735,5972,5178,4602,4602,4476,4364,4286,4289,4308,3814,3403,3183,3061,2998
Magway,7399,12546,12546,13980,13980,13980,13980,13787,8696,8696,10299,9810,9810,18242,8754,8595,7890,7890,7439
Bago,8373,8867,8989,9440,8575,8575,6027,5402,5418,5418,5405,5623,5327,5327,3659,3577,3577,3499,2902
Yangon,2644,2644,3412,3405,3066,2763,2598,2598,2505,2568,2622,1329,1329,1361,1346,781,844,637,602
Ayeyarwaddy,2235,2768,2786,2470,2470,2470,1613,1355,1200,1059,976,929,933,899,839,825,832,2109,3101
Tanintharyi,0,0,3635,1278,1144,1137,1110,1067,969,845,807,763,769,674,633,578,502,508,697
Naypyitaw,667,799,809,1059,1040,1022,972,936,968,976,986,1013,1020,1064,1035,1018,1076,1178,1225
,,,,,,,,,,,,,,,,,,,
Kachin,152,152,214,238,263,268,268,277,282,286,289,333,333,333,408,421,428,438,455
Kayar,19,19,17,17,17,17,17,17,15,15,15,18,18,18,18,18,18,24,24
Kayin,25,25,35,35,35,35,35,418,419,421,420,422,426,425,425,425,424,374,371
Chin,16,16,17,17,17,17,17,17,17,17,17,22,22,22,33,33,33,33,33
Mon,435,476,479,484,484,484,484,486,169,169,486,152,151,149,149,486,98,90,68
Rakhine,9,9,17,76,109,129,129,130,139,139,136,144,144,144,162,165,165,162,162
Shan (S),256,256,284,284,284,284,423,424,221,218,218,218,219,219,219,426,430,183,176
Shan (N),61,61,164,268,268,268,268,200,205,208,208,282,282,282,233,245,430,271,281
Shan (E),590,590,12,21,21,26,26,20,21,21,21,22,22,22,39,41,37,39,39
Sagaing,1231,1231,1239,6889,6889,6889,6889,1446,1446,1446,1446,1446,1446,1446,1468,1468,1468,1633,1633
Mandalay,804,883,933,933,933,933,933,804,804,795,765,779,784,784,762,705,678,584,580
Magway,74,72,73,73,73,73,73,73,73,1879,1880,2694,2694,2694,1755,1754,1755,1755,1755
Bago,911,996,1040,1025,996,996,996,873,817,817,751,756,756,756,644,578,578,566,521
Yangon,26,26,79,81,81,81,84,84,82,77,78,22,22,22,22,22,21,13,12
Ayeyarwaddy,317,317,391,416,416,416,405,314,211,208,208,212,222,222,240,240,249,408,527
Tanintharyi,317,317,25,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
Naypyitaw,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,3,11,11
,,,,,,,,,,,,,,,,,,,
Kachin,14,14,14,14,14,14,14,15,15,15,15,17,17,17,17,18,18,18,18
Kayar,32,33,33,35,35,35,37,37,37,44,44,49,49,49,51,56,57,57,57
Kayin,26,28,28,30,30,32,44,44,49,51,53,59,62,62,66,70,74,81,87
Chin,8,8,8,8,8,8,9,9,10,10,12,12,12,12,12,13,13,13,13
Mon,7,8,10,14,18,18,26,30,32,37,41,56,62,66,69,72,73,78,79
Rakhine,16,16,20,20,21,21,25,27,28,28,28,30,32,32,33,33,33,34,35
Shan (S),33,33,33,33,33,33,33,34,37,37,37,43,48,48,52,53,54,55,55
Shan (N),49,52,55,55,57,59,63,64,67,72,72,89,93,95,96,100,101,101,104
Shan (E),34,37,41,44,46,46,46,46,51,54,58,58,58,59,60,60,60,61,61
Sagaing,26,29,29,30,30,30,31,32,37,39,40,41,41,41,48,49,49,50,50
Mandalay,88,92,98,105,107,112,125,131,142,154,166,211,222,231,254,281,304,331,358
Magway,28,31,34,35,37,39,45,45,49,52,54,64,68,75,80,87,93,96,100
Bago,52,55,60,63,78,79,81,84,91,95,102,119,123,128,131,131,133,134,136
Yangon,228,258,298,335,373,406,452,492,558,623,689,802,877,933,997,1061,1137,1192,1244
Ayeyarwaddy,18,20,20,22,22,26,27,30,31,34,38,44,47,48,49,52,57,61,63
Tanintharyi,5,6,7,7,7,7,8,13,14,17,20,22,22,23,24,24,24,25,27
Naypyitaw,16,18,19,20,20,21,23,23,25,34,34,38,48,48,50,52,53,53,54
