case,ref_link
1,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3270706242958658?__xts__%5B0%5D=68.ARBLm5nS1ehobjCfiygTmRNo_ZATTKbLOSALV7jdgJiVnvXMFdzlA13Iq7NqO0nm7nzBVKMtEMj8oVbpv0cGoYsXv60UUJWf2U_Z_hFsMbMfQVNVrYpreo_K1HWKKElIOWu0ghdwRAeMlIXVECBxXRQYN1szjUDWfc41PWJv0dNw4QvcwrPhH3s3VI_K-vRxVHx5WwgJWGJgqSv0i9A3O9eppgcOZq4uzydsSOA22yDclbFhKyEXqUw7I7cs_4A5sI-MfuH9mi0_Z-preWHiDi5kSZUBDph947w4AzjN8HgJU4fcV2cfaDg8VOqdMWGAvPDH2oMRiRWi61xumDdUYL5iuA&__tn__=-R
2,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3270706242958658?__xts__%5B0%5D=68.ARBLm5nS1ehobjCfiygTmRNo_ZATTKbLOSALV7jdgJiVnvXMFdzlA13Iq7NqO0nm7nzBVKMtEMj8oVbpv0cGoYsXv60UUJWf2U_Z_hFsMbMfQVNVrYpreo_K1HWKKElIOWu0ghdwRAeMlIXVECBxXRQYN1szjUDWfc41PWJv0dNw4QvcwrPhH3s3VI_K-vRxVHx5WwgJWGJgqSv0i9A3O9eppgcOZq4uzydsSOA22yDclbFhKyEXqUw7I7cs_4A5sI-MfuH9mi0_Z-preWHiDi5kSZUBDph947w4AzjN8HgJU4fcV2cfaDg8VOqdMWGAvPDH2oMRiRWi61xumDdUYL5iuA&__tn__=-R
3,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3273579806004635?__xts__%5B0%5D=68.ARAJYOF1fFuC48CcZeUIoIwmeC6iaAfp9uAHDgEwqmqoBp5lqXYUv86-xxaydN0QVwRJrDF6qbmwZ9K8bfOiRvjJ5p_nP2sYxb5A_qoMhImUBtWNvbRXgl5zCZlLdi_z7-nwMS0iNeCrujm1z0nEExNbYiN7jxorfHeksK_4YM4YBp3BKtvi4uG4O0aCAvDWD8mPv_CbPZr-7aNIbCQ5wYBZAq_QWdv9MuK3wzvKY_bKckdQNG_Xr7I6-UHQ5gSPXOADHI0PcnmoZF9p0341MsP6a3-IcvUOxRyLJslHQ_tv3j0GMGpGkLNdrk-WCxxtW9f_KEORBWfLiMzjnNKDDo_PEA&__tn__=-R
4,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3278754752153807?__xts__%5B0%5D=68.ARC5N4O1rKWcFz85wEhjxAx5UVSiGsq7UZql8qbkMqEeQvnVDUfdOIrIn2XaTBVdkIyQR9iD-6mMszQo69uDMkiKQteBD8Zo_IJpBSf3ssuPOB5S9B0Ao6MxJXlX_I_lIG-cbm9wpHNC6qhrhZeMY8caM5da0GYvvd9ybizHCITSq7B2nXMBlhzLT5pV5KbGcuh3q6rrwhCov3M_hqhZOhq53HHsbPlShHlbE4e6aowlJf3IZopOawxhzOGPrIyllzMRghxcVfTugB31Rfxamp0zvAJw3iCyh6c-UPk9LfBf3Ghckh8_l5X4k8-HfELfxAVW3gC9ln3ZVuOkivrDBE1GTA&__tn__=-R
5,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3278754752153807?__xts__%5B0%5D=68.ARC5N4O1rKWcFz85wEhjxAx5UVSiGsq7UZql8qbkMqEeQvnVDUfdOIrIn2XaTBVdkIyQR9iD-6mMszQo69uDMkiKQteBD8Zo_IJpBSf3ssuPOB5S9B0Ao6MxJXlX_I_lIG-cbm9wpHNC6qhrhZeMY8caM5da0GYvvd9ybizHCITSq7B2nXMBlhzLT5pV5KbGcuh3q6rrwhCov3M_hqhZOhq53HHsbPlShHlbE4e6aowlJf3IZopOawxhzOGPrIyllzMRghxcVfTugB31Rfxamp0zvAJw3iCyh6c-UPk9LfBf3Ghckh8_l5X4k8-HfELfxAVW3gC9ln3ZVuOkivrDBE1GTA&__tn__=-R
6,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3281142441915038?__xts__%5B0%5D=68.ARBc8Ui5s_5pmtF400_f-2tViJHEp18SiuSn8jo0WzCu5uYnH9-DoUCLoXMED5tREYzeSulbnBsrzO21eXkqNIEOxPR6GBGgr3PjtCfBQLuFuGacrf0qBDpZvrfe6Q5kp7DQgqrZvMEdwF-amxKNaqEd86zGrhdOn-KoFsA4Buv8nvxLPlOWPJmVbq1rCx9beY0jckPSyD3QxPb-7IpEr_xsH2hMn4v0Ax9SfpWhGrbCb7hjNXQNLx5tXUHHtkDOb2oK3oWb8XYT7hHy0SUjrPGDSRooTi8ofeuDVTQuPqR1BmkjnsEmTrPLiZlta7ojGq_hUYYrzK0TFfezOHfMQauBGQ&__tn__=-R
7,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3281142441915038?__xts__%5B0%5D=68.ARBc8Ui5s_5pmtF400_f-2tViJHEp18SiuSn8jo0WzCu5uYnH9-DoUCLoXMED5tREYzeSulbnBsrzO21eXkqNIEOxPR6GBGgr3PjtCfBQLuFuGacrf0qBDpZvrfe6Q5kp7DQgqrZvMEdwF-amxKNaqEd86zGrhdOn-KoFsA4Buv8nvxLPlOWPJmVbq1rCx9beY0jckPSyD3QxPb-7IpEr_xsH2hMn4v0Ax9SfpWhGrbCb7hjNXQNLx5tXUHHtkDOb2oK3oWb8XYT7hHy0SUjrPGDSRooTi8ofeuDVTQuPqR1BmkjnsEmTrPLiZlta7ojGq_hUYYrzK0TFfezOHfMQauBGQ&__tn__=-R
8,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3281142441915038?__xts__%5B0%5D=68.ARBc8Ui5s_5pmtF400_f-2tViJHEp18SiuSn8jo0WzCu5uYnH9-DoUCLoXMED5tREYzeSulbnBsrzO21eXkqNIEOxPR6GBGgr3PjtCfBQLuFuGacrf0qBDpZvrfe6Q5kp7DQgqrZvMEdwF-amxKNaqEd86zGrhdOn-KoFsA4Buv8nvxLPlOWPJmVbq1rCx9beY0jckPSyD3QxPb-7IpEr_xsH2hMn4v0Ax9SfpWhGrbCb7hjNXQNLx5tXUHHtkDOb2oK3oWb8XYT7hHy0SUjrPGDSRooTi8ofeuDVTQuPqR1BmkjnsEmTrPLiZlta7ojGq_hUYYrzK0TFfezOHfMQauBGQ&__tn__=-R
9,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3286243674738248?__xts__%5B0%5D=68.ARC6m9Nv4ArcRuCfOc2FZQhjwXSsP6_FRBKXRdE44JIi-nfRAVZAOinFfhWO7hsjFAneptIRy9e6B8l99icMgUO0tcM4mcFKFgqY_3En8Ah4lw-8p-BGl10ufWqsNT_qwFl8xgtEErDc_u0yigNJBs8ofkCYLQxVmN-smfLBoe45Hz9O77AoXIw5W6AxE-fAuxZUERXsdpctZvSEwW9rd9fb0ENYskkwsKagEj454H42aW4NZOckAbYDcwRhZa81h5SzZRg-_rk2Q25FicOC7mDodSpPKRvWcgneP3eiZbpCVqsXyWEYCwN1DaBL13ULA4MQMt2UDAHQc3hAv8yLKbwJ5w&__tn__=-R
10,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3286243674738248?__xts__%5B0%5D=68.ARC6m9Nv4ArcRuCfOc2FZQhjwXSsP6_FRBKXRdE44JIi-nfRAVZAOinFfhWO7hsjFAneptIRy9e6B8l99icMgUO0tcM4mcFKFgqY_3En8Ah4lw-8p-BGl10ufWqsNT_qwFl8xgtEErDc_u0yigNJBs8ofkCYLQxVmN-smfLBoe45Hz9O77AoXIw5W6AxE-fAuxZUERXsdpctZvSEwW9rd9fb0ENYskkwsKagEj454H42aW4NZOckAbYDcwRhZa81h5SzZRg-_rk2Q25FicOC7mDodSpPKRvWcgneP3eiZbpCVqsXyWEYCwN1DaBL13ULA4MQMt2UDAHQc3hAv8yLKbwJ5w&__tn__=-R
