date,new_pui
2020-01-31,1
2020-02-01,2
2020-02-02,3
2020-02-03,2
2020-02-04,0
2020-02-05,2
2020-02-06,1
2020-02-07,4
2020-02-08,2
2020-02-09,9
2020-02-10,1
2020-02-11,2
2020-02-12,0
2020-02-13,2
2020-02-14,3
2020-02-15,1
2020-02-16,1
2020-02-17,0
2020-02-18,1
2020-02-19,3
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-02-29,0
2020-03-01,2
2020-03-02,4
2020-03-03,3
2020-03-04,2
2020-03-05,1
2020-03-06,5
2020-03-07,6
2020-03-08,6
2020-03-09,7
2020-03-10,4
2020-03-11,15
2020-03-12,14
2020-03-13,11
2020-03-14,7
2020-03-15,8
2020-03-16,3
2020-03-17,11
2020-03-18,13
2020-03-19,18
2020-03-20,14
2020-03-21,12
2020-03-22,5
2020-03-23,8
2020-03-24,23
2020-03-25,38
2020-03-26,48
2020-03-27,47
2020-03-28,55
2020-03-29,45
2020-03-30,31
2020-03-31,44
2020-04-01,36
2020-04-02,43
2020-04-03,46
2020-04-04,58
2020-04-05,38
2020-04-06,31
2020-04-07,19
2020-04-08,44
2020-04-09,66
2020-04-10,50
